date,country,D,H,I,M,S
2021-05-01,Japan,11,0,0,108,2
2021-05-01,Sweden,0,0,0,9,0
2021-05-02,Afghanistan,1,0,1,34,1
2021-05-02,Japan,11,0,0,109,1
2021-05-02,Sweden,0,0,0,9,0
2021-05-03,Afghanistan,1,0,1,34,1
2021-05-03,Japan,11,0,0,109,1
2021-05-03,Sweden,0,0,0,9,0
2021-05-04,Afghanistan,1,0,1,34,1
2021-05-04,Japan,11,0,0,109,1
2021-05-04,Sweden,0,0,0,9,0
2021-05-05,Afghanistan,1,0,1,34,1
2021-05-05,Japan,11,0,0,109,1
2021-05-05,Sweden,0,0,0,9,0
2021-05-06,Afghanistan,1,0,0,34,2
2021-05-06,Japan,11,0,0,109,1
2021-05-06,Sweden,0,0,0,9,0
2021-05-07,Afghanistan,1,0,0,34,2
2021-05-07,Japan,11,0,0,109,1
2021-05-07,Sweden,0,0,0,9,0
2021-05-08,Afghanistan,2,0,0,34,1
2021-05-08,Japan,11,0,0,109,1
2021-05-08,Sweden,0,0,0,9,0
2021-05-09,Afghanistan,2,0,0,34,1
2021-05-09,Japan,11,0,0,109,1
2021-05-09,Sweden,0,0,0,9,0
2021-05-10,Afghanistan,2,0,0,34,1
2021-05-10,Japan,11,0,0,109,1
2021-05-10,Sweden,0,0,0,9,0
2021-05-11,Afghanistan,2,0,0,34,1
2021-05-11,Japan,12,0,0,109,0
2021-05-11,Sweden,0,0,0,9,0
2021-05-12,Afghanistan,2,0,0,34,1
2021-05-12,Japan,12,0,0,109,0
2021-05-12,Sweden,0,0,0,9,0
2021-05-13,Afghanistan,2,0,0,34,1
2021-05-13,Japan,12,0,0,109,0
2021-05-13,Sweden,0,0,0,9,0
2021-05-14,Afghanistan,2,0,0,34,1
2021-05-14,Japan,12,0,0,109,0
2021-05-14,Sweden,0,0,0,9,0
2021-05-15,Afghanistan,2,0,0,34,1
2021-05-15,Japan,12,0,0,109,0
2021-05-15,Sweden,0,0,0,9,0
2021-05-16,Afghanistan,2,0,0,34,1
2021-05-16,Japan,12,0,0,109,0
2021-05-16,Sweden,0,0,0,9,0
2021-05-17,Afghanistan,2,0,0,34,1
2021-05-17,Japan,12,0,0,109,0
2021-05-17,Sweden,0,0,0,9,0
2021-05-18,Afghanistan,2,0,0,34,1
2021-05-18,Japan,12,0,0,109,0
2021-05-18,Sweden,0,0,0,9,0
2021-05-19,Afghanistan,2,0,0,34,1
2021-05-19,Japan,12,0,0,109,0
2021-05-19,Sweden,0,0,0,9,0
2021-05-20,Afghanistan,2,0,0,35,0
2021-05-20,Japan,12,0,0,109,0
2021-05-20,Sweden,0,0,0,9,0
2021-05-21,Afghanistan,2,0,0,35,0
2021-05-21,Japan,12,0,0,109,0
2021-05-21,Sweden,0,0,0,9,0
2021-05-22,Afghanistan,2,0,0,35,0
2021-05-22,Japan,12,0,0,109,0
2021-05-22,Sweden,0,0,0,9,0
2021-05-23,Afghanistan,2,0,0,35,0
2021-05-23,Japan,12,0,0,109,0
2021-05-23,Sweden,0,0,0,9,0
2021-05-24,Afghanistan,2,0,0,35,0
2021-05-24,Japan,12,0,0,109,0
2021-05-24,Sweden,0,0,0,9,0
2021-05-25,Afghanistan,2,0,0,35,0
2021-05-25,Japan,12,0,0,109,0
2021-05-25,Sweden,0,0,0,9,0
2021-05-26,Afghanistan,2,0,0,35,0
2021-05-26,Japan,12,0,0,109,0
2021-05-26,Sweden,0,0,0,9,0
2021-05-27,Afghanistan,2,0,0,35,0
2021-05-27,Japan,12,0,0,109,0
2021-05-27,Sweden,0,0,0,9,0
2021-05-28,Afghanistan,2,0,0,35,0
2021-05-28,Japan,12,0,0,109,0
2021-05-28,Sweden,0,0,0,9,0
2021-05-29,Afghanistan,2,0,0,35,0
2021-05-29,Japan,12,0,0,109,0
2021-05-29,Sweden,0,0,0,9,0
2021-05-30,Afghanistan,2,0,0,35,0
2021-05-30,Japan,12,0,0,109,0
2021-05-30,Sweden,0,0,0,9,0
2021-05-31,Afghanistan,2,0,0,35,0
2021-05-31,Japan,12,0,0,109,0
2021-05-31,Sweden,0,0,0,9,0
2021-06-01,Afghanistan,2,0,0,35,0
2021-06-01,Japan,12,0,0,109,0
2021-06-01,Sweden,0,0,0,9,0
2021-06-02,Afghanistan,2,0,0,35,0
2021-06-02,Japan,12,0,0,109,0
2021-06-02,Sweden,0,0,0,9,0
2021-06-03,Afghanistan,2,0,0,35,0
2021-06-03,Japan,12,0,0,109,0
2021-06-03,Sweden,0,0,0,9,0
2021-06-04,Afghanistan,2,0,0,35,0
2021-06-04,Japan,12,0,0,109,0
2021-06-04,Sweden,0,0,0,9,0
2021-06-05,Afghanistan,2,0,0,35,0
2021-06-05,Japan,12,0,0,109,0
2021-06-05,Sweden,0,0,0,9,0
2021-06-06,Afghanistan,2,0,0,35,0
2021-06-06,Japan,12,0,0,109,0
2021-06-06,Sweden,0,0,0,9,0
2021-06-07,Afghanistan,2,0,0,35,0
2021-06-07,Japan,12,0,0,109,0
2021-06-07,Sweden,0,0,0,9,0
2021-06-08,Afghanistan,2,0,0,35,0
2021-06-08,Japan,12,0,0,109,0
2021-06-08,Sweden,0,0,0,9,0
2021-06-09,Afghanistan,2,0,0,35,0
2021-06-09,Japan,12,0,0,109,0
2021-06-09,Sweden,0,0,0,9,0
2021-06-10,Afghanistan,2,0,0,35,0
2021-06-10,Japan,12,0,0,109,0
2021-06-10,Sweden,0,0,0,9,0
2021-06-11,Afghanistan,2,0,0,35,0
2021-06-11,Japan,12,0,0,109,0
2021-06-11,Sweden,0,0,0,9,0
2021-06-12,Afghanistan,2,0,0,35,0
2021-06-12,Japan,12,0,0,109,0
2021-06-12,Sweden,0,0,0,9,0
2021-06-13,Afghanistan,2,0,0,35,0
2021-06-13,Japan,12,0,0,109,0
2021-06-13,Sweden,0,0,0,9,0
2021-06-14,Afghanistan,2,0,0,35,0
2021-06-14,Japan,12,0,0,109,0
2021-06-14,Sweden,0,0,0,9,0
2021-06-15,Afghanistan,2,0,0,35,0
2021-06-15,Japan,12,0,0,109,0
2021-06-15,Sweden,0,0,0,9,0
2021-06-16,Afghanistan,2,0,0,35,0
2021-06-16,Japan,12,0,0,109,0
2021-06-16,Sweden,0,0,0,9,0
2021-06-17,Afghanistan,2,0,0,35,0
2021-06-17,Japan,12,0,0,109,0
2021-06-17,Sweden,0,0,0,9,0
2021-06-18,Afghanistan,2,0,0,35,0
2021-06-18,Japan,12,0,0,109,0
2021-06-18,Sweden,0,0,0,9,0
2021-06-19,Afghanistan,2,0,0,35,0
2021-06-19,Japan,12,0,0,109,0
2021-06-19,Sweden,0,0,0,9,0
2021-06-20,Afghanistan,2,0,0,35,0
2021-06-20,Japan,12,0,0,109,0
2021-06-20,Sweden,0,0,0,9,0
2021-06-21,Afghanistan,2,0,0,35,0
2021-06-21,Japan,12,0,0,109,0
2021-06-21,Sweden,0,0,0,9,0
2021-06-22,Afghanistan,2,0,0,35,0
2021-06-22,Japan,12,0,0,109,0
2021-06-22,Sweden,0,0,0,9,0
2021-06-23,Afghanistan,2,0,0,35,0
2021-06-23,Japan,12,0,0,109,0
2021-06-23,Sweden,0,0,0,9,0
2021-06-24,Afghanistan,2,0,0,35,0
2021-06-24,Japan,12,0,0,109,0
2021-06-24,Sweden,0,0,0,9,0
2021-06-25,Afghanistan,2,0,0,35,0
2021-06-25,Japan,12,0,0,109,0
2021-06-25,Sweden,0,0,0,9,0
2021-06-26,Afghanistan,2,0,0,35,0
2021-06-26,Japan,12,0,0,109,0
2021-06-26,Sweden,0,0,0,9,0
2021-06-27,Afghanistan,2,0,0,35,0
2021-06-27,Japan,12,0,0,109,0
2021-06-27,Sweden,0,0,0,9,0
2021-06-28,Afghanistan,2,0,0,35,0
2021-06-28,Japan,12,0,0,109,0
2021-06-28,Sweden,0,0,0,9,0
2021-06-29,Afghanistan,2,0,0,35,0
2021-06-29,Japan,12,0,0,109,0
2021-06-29,Sweden,0,0,0,9,0
2021-06-30,Afghanistan,2,0,0,35,0
2021-06-30,Japan,12,0,0,109,0
2021-06-30,Sweden,0,0,0,9,0
2021-07-01,Afghanistan,2,0,0,35,0
2021-07-01,Japan,12,0,0,109,0
2021-07-01,Sweden,0,0,0,9,0
2021-07-02,Afghanistan,2,0,0,35,0
2021-07-02,Japan,12,0,0,109,0
2021-07-02,Sweden,0,0,0,9,0
2021-07-03,Afghanistan,2,0,0,35,0
2021-07-03,Japan,12,0,0,109,0
2021-07-03,Sweden,0,0,0,9,0
2021-07-04,Afghanistan,2,0,0,35,0
2021-07-04,Japan,12,0,0,109,0
2021-07-04,Sweden,0,0,0,9,0
2021-07-05,Afghanistan,2,0,0,35,0
2021-07-05,Japan,12,0,0,109,0
2021-07-05,Sweden,0,0,0,9,0
2021-07-06,Afghanistan,2,0,0,35,0
2021-07-06,Japan,12,0,0,109,0
2021-07-06,Sweden,0,0,0,9,0
2021-07-07,Afghanistan,2,0,0,35,0
2021-07-07,Japan,12,0,0,109,0
2021-07-07,Sweden,0,0,0,9,0
2021-07-08,Afghanistan,2,0,0,35,0
2021-07-08,Japan,12,0,0,109,0
2021-07-08,Sweden,0,0,0,9,0
2021-07-09,Afghanistan,2,0,0,35,0
2021-07-09,Japan,12,0,0,109,0
2021-07-09,Sweden,0,0,0,9,0
2021-07-10,Afghanistan,2,0,0,35,0
2021-07-10,Japan,12,0,0,109,0
2021-07-10,Sweden,0,0,0,9,0
2021-07-11,Afghanistan,2,0,0,35,0
2021-07-11,Japan,12,0,0,109,0
2021-07-11,Sweden,0,0,0,9,0
2021-07-12,Afghanistan,2,0,0,35,0
2021-07-12,Japan,12,0,0,109,0
2021-07-12,Sweden,0,0,0,9,0
2021-07-13,Afghanistan,2,0,0,35,0
2021-07-13,Japan,12,0,0,109,0
2021-07-13,Sweden,0,0,0,9,0
2021-07-14,Afghanistan,2,0,0,35,0
2021-07-14,Japan,12,0,0,109,0
2021-07-14,Sweden,0,0,0,9,0
2021-07-15,Afghanistan,2,0,0,35,0
2021-07-15,Japan,12,0,0,109,0
2021-07-15,Sweden,0,0,0,9,0
2021-07-16,Afghanistan,2,0,0,35,0
2021-07-16,Japan,12,0,0,109,0
2021-07-16,Sweden,0,0,0,9,0
2021-07-17,Afghanistan,2,0,0,35,0
2021-07-17,Japan,12,0,0,109,0
2021-07-17,Sweden,0,0,0,9,0
2021-07-18,Afghanistan,2,0,0,35,0
2021-07-18,Japan,12,0,0,109,0
2021-07-18,Sweden,0,0,0,9,0
2021-07-19,Afghanistan,2,0,0,35,0
2021-07-19,Japan,12,0,0,109,0
2021-07-19,Sweden,0,0,0,9,0
2021-07-20,Afghanistan,2,0,0,35,0
2021-07-20,Japan,12,0,0,109,0
2021-07-20,Sweden,0,0,0,9,0
2021-07-21,Afghanistan,2,0,0,35,0
2021-07-21,Japan,12,0,0,109,0
2021-07-21,Sweden,0,0,0,9,0
2021-07-22,Afghanistan,2,0,0,35,0
2021-07-22,Japan,12,0,0,109,0
2021-07-22,Sweden,0,0,0,9,0
2021-07-23,Afghanistan,2,0,0,35,0
2021-07-23,Japan,12,0,0,109,0
2021-07-23,Sweden,0,0,0,9,0
2021-07-24,Afghanistan,2,0,0,35,0
2021-07-24,Japan,12,0,0,109,0
2021-07-24,Sweden,0,0,0,9,0
2021-07-25,Afghanistan,2,0,0,35,0
2021-07-25,Japan,12,0,0,109,0
2021-07-25,Sweden,0,0,0,9,0
2021-07-26,Afghanistan,2,0,0,35,0
2021-07-26,Japan,12,0,0,109,0
2021-07-26,Sweden,0,0,0,9,0
2021-07-27,Afghanistan,2,0,0,35,0
2021-07-27,Japan,12,0,0,109,0
2021-07-27,Sweden,0,0,0,9,0
2021-07-28,Afghanistan,2,0,0,35,0
2021-07-28,Japan,12,0,0,109,0
2021-07-28,Sweden,0,0,0,9,0
2021-07-29,Afghanistan,2,0,0,35,0
2021-07-29,Japan,12,0,0,109,0
2021-07-29,Sweden,0,0,0,9,0
2021-07-30,Afghanistan,2,0,0,35,0
2021-07-30,Japan,12,0,0,109,0
2021-07-30,Sweden,0,0,0,9,0
2021-07-31,Afghanistan,2,0,0,35,0
2021-07-31,Japan,12,0,0,109,0
2021-07-31,Sweden,0,0,0,9,0
2021-08-01,Afghanistan,2,0,0,35,0
2021-08-01,Japan,12,0,0,109,0
2021-08-01,Sweden,0,0,0,9,0
2021-08-02,Afghanistan,2,0,0,35,0
2021-08-02,Japan,12,0,0,109,0
2021-08-02,Sweden,0,0,0,9,0
2021-08-03,Afghanistan,2,0,0,35,0
2021-08-03,Japan,12,0,0,109,0
2021-08-03,Sweden,0,0,0,9,0
2021-08-04,Afghanistan,2,4,0,31,0
2021-08-04,Japan,12,17,0,92,0
2021-08-04,Sweden,0,5,0,4,0
2021-08-05,Afghanistan,2,5,1,29,0
2021-08-05,Japan,12,23,6,80,0
2021-08-05,Sweden,0,4,1,4,0
2021-08-06,Afghanistan,2,6,3,26,0
2021-08-06,Japan,12,21,14,74,0
2021-08-06,Sweden,0,3,2,4,0
2021-08-07,Afghanistan,2,5,4,26,0
2021-08-07,Japan,12,20,21,68,0
2021-08-07,Sweden,0,4,2,3,0
2021-08-08,Afghanistan,2,6,4,25,0
2021-08-08,Japan,12,21,25,63,0
2021-08-08,Sweden,0,3,3,3,0
2021-08-09,Afghanistan,2,4,5,26,0
2021-08-09,Japan,12,21,24,61,3
2021-08-09,Sweden,0,1,4,3,1
2021-08-10,Afghanistan,2,3,6,26,0
2021-08-10,Japan,12,12,27,62,8
2021-08-10,Sweden,0,1,3,4,1
2021-08-11,Afghanistan,2,3,5,26,1
2021-08-11,Japan,12,11,23,62,13
2021-08-11,Sweden,0,2,3,3,1
2021-08-12,Afghanistan,2,3,5,26,1
2021-08-12,Japan,12,12,21,59,17
2021-08-12,Sweden,0,0,4,3,2
2021-08-13,Afghanistan,2,4,3,26,2
2021-08-13,Japan,12,11,17,63,18
2021-08-13,Sweden,0,0,2,3,4
2021-08-14,Afghanistan,2,4,0,28,3
2021-08-14,Japan,12,11,6,69,23
2021-08-14,Sweden,0,0,2,3,4
2021-08-15,Afghanistan,2,4,0,28,3
2021-08-15,Japan,12,8,6,71,24
2021-08-15,Sweden,0,0,2,3,4
2021-08-16,Afghanistan,2,4,0,28,3
2021-08-16,Japan,12,5,7,72,25
2021-08-16,Sweden,0,0,0,5,4
2021-08-17,Afghanistan,2,5,0,27,3
2021-08-17,Japan,12,4,7,72,26
2021-08-17,Sweden,0,0,0,5,4
2021-08-18,Afghanistan,2,10,0,22,3
2021-08-18,Japan,12,15,9,59,26
2021-08-18,Sweden,0,0,0,5,4
2021-08-19,Afghanistan,2,13,2,17,3
2021-08-19,Japan,12,22,8,52,27
2021-08-19,Sweden,0,0,0,5,4
2021-08-20,Afghanistan,2,10,6,16,3
2021-08-20,Japan,12,17,17,47,28
2021-08-20,Sweden,0,2,0,3,4
2021-08-21,Afghanistan,2,8,9,15,3
2021-08-21,Japan,12,21,16,43,29
2021-08-21,Sweden,0,1,1,3,4
2021-08-22,Afghanistan,2,8,10,14,3
2021-08-22,Japan,12,17,22,41,29
2021-08-22,Sweden,0,1,1,3,4
2021-08-23,Afghanistan,2,6,10,14,5
2021-08-23,Japan,12,20,21,40,28
2021-08-23,Sweden,0,0,2,4,3
2021-08-24,Afghanistan,2,9,6,12,8
2021-08-24,Japan,14,16,15,48,28
2021-08-24,Sweden,0,0,2,4,3
2021-08-25,Afghanistan,2,8,4,15,8
2021-08-25,Japan,14,16,17,51,23
2021-08-25,Sweden,0,0,1,5,3
2021-08-26,Afghanistan,2,8,4,15,8
2021-08-26,Japan,16,13,13,56,23
2021-08-26,Sweden,1,0,1,5,2
2021-08-27,Afghanistan,2,7,4,17,7
2021-08-27,Japan,16,12,15,56,22
2021-08-27,Sweden,1,0,0,7,1
2021-08-28,Afghanistan,2,6,6,17,6
2021-08-28,Japan,17,12,11,59,22
2021-08-28,Sweden,1,0,0,7,1
2021-08-29,Afghanistan,2,6,5,18,6
2021-08-29,Japan,18,11,10,59,23
2021-08-29,Sweden,1,0,0,7,1
2021-08-30,Afghanistan,2,6,5,17,7
2021-08-30,Japan,18,11,7,61,24
2021-08-30,Sweden,1,0,0,7,1
2021-08-31,Afghanistan,2,4,5,18,8
2021-08-31,Japan,18,7,8,64,24
2021-08-31,Sweden,1,0,0,7,1
2021-09-01,Afghanistan,2,3,4,18,10
2021-09-01,Japan,18,7,6,64,26
2021-09-01,Sweden,1,0,0,7,1
2021-09-02,Afghanistan,2,2,5,18,10
2021-09-02,Japan,19,6,6,65,25
2021-09-02,Sweden,1,0,0,7,1
2021-09-03,Afghanistan,2,2,4,19,10
2021-09-03,Japan,19,5,6,66,25
2021-09-03,Sweden,1,0,0,7,1
2021-09-04,Afghanistan,2,2,2,20,11
2021-09-04,Japan,20,3,4,68,26
2021-09-04,Sweden,1,0,0,7,1
2021-09-05,Afghanistan,2,2,1,20,12
2021-09-05,Japan,20,3,4,68,26
2021-09-05,Sweden,1,0,0,7,1
2021-09-06,Afghanistan,2,2,0,23,10
2021-09-06,Japan,20,2,4,71,24
2021-09-06,Sweden,1,0,0,7,1
2021-09-07,Afghanistan,3,2,0,25,7
2021-09-07,Japan,21,2,3,75,20
2021-09-07,Sweden,1,0,0,7,1
2021-09-08,Afghanistan,3,2,0,26,6
2021-09-08,Japan,21,2,1,76,21
2021-09-08,Sweden,1,0,0,7,1
2021-09-09,Afghanistan,3,2,0,26,6
2021-09-09,Japan,22,2,1,79,17
2021-09-09,Sweden,1,0,0,7,1
2021-09-10,Afghanistan,3,2,0,26,6
2021-09-10,Japan,22,2,0,80,17
2021-09-10,Sweden,1,0,0,8,0
2021-09-11,Afghanistan,3,2,0,26,6
2021-09-11,Japan,23,2,0,84,12
2021-09-11,Sweden,1,0,0,8,0
2021-09-12,Afghanistan,3,2,0,26,6
2021-09-12,Japan,24,2,0,85,10
2021-09-12,Sweden,1,0,0,8,0
2021-09-13,Afghanistan,3,2,0,27,5
2021-09-13,Japan,24,2,0,87,8
2021-09-13,Sweden,1,0,0,8,0
2021-09-14,Afghanistan,4,2,0,27,4
2021-09-14,Japan,24,2,0,88,7
2021-09-14,Sweden,1,0,0,8,0
2021-09-15,Afghanistan,4,2,0,29,2
2021-09-15,Japan,24,2,0,90,5
2021-09-15,Sweden,1,0,0,8,0
2021-09-16,Afghanistan,4,2,0,29,2
2021-09-16,Japan,24,2,0,90,5
2021-09-16,Sweden,1,0,0,8,0
2021-09-17,Afghanistan,4,3,0,28,2
2021-09-17,Japan,24,1,1,91,4
2021-09-17,Sweden,1,0,0,8,0
2021-09-18,Afghanistan,5,3,0,28,1
2021-09-18,Japan,25,1,1,92,2
2021-09-18,Sweden,1,0,0,8,0
2021-09-19,Afghanistan,5,2,1,29,0
2021-09-19,Japan,25,0,2,92,2
2021-09-19,Sweden,1,0,0,8,0
2021-09-20,Afghanistan,5,2,1,29,0
2021-09-20,Japan,25,0,2,92,2
2021-09-20,Sweden,1,0,0,8,0
2021-09-21,Afghanistan,5,2,1,29,0
2021-09-21,Japan,26,0,1,92,2
2021-09-21,Sweden,1,0,0,8,0
2021-09-22,Afghanistan,5,2,1,29,0
2021-09-22,Japan,26,0,1,93,1
2021-09-22,Sweden,1,0,0,8,0
2021-09-23,Afghanistan,5,0,2,29,1
2021-09-23,Japan,26,0,0,93,2
2021-09-23,Sweden,1,0,0,8,0
2021-09-24,Afghanistan,5,0,2,29,1
2021-09-24,Japan,26,0,0,93,2
2021-09-24,Sweden,1,0,0,8,0
2021-09-25,Afghanistan,5,0,2,29,1
2021-09-25,Japan,26,0,0,93,2
2021-09-25,Sweden,1,0,0,8,0
2021-09-26,Afghanistan,5,0,2,29,1
2021-09-26,Japan,26,0,0,93,2
2021-09-26,Sweden,1,0,0,8,0
2021-09-27,Afghanistan,5,0,0,29,3
2021-09-27,Japan,26,0,0,93,2
2021-09-27,Sweden,1,0,0,8,0
2021-09-28,Afghanistan,5,0,0,29,3
2021-09-28,Japan,26,0,0,93,2
2021-09-28,Sweden,1,0,0,8,0
2021-09-29,Afghanistan,5,0,0,29,3
2021-09-29,Japan,26,0,0,93,2
2021-09-29,Sweden,1,0,0,8,0
2021-09-30,Afghanistan,5,0,0,29,3
2021-09-30,Japan,26,0,0,93,2
2021-09-30,Sweden,1,0,0,8,0
2021-10-01,Afghanistan,5,0,0,29,3
2021-10-01,Japan,26,0,0,93,2
2021-10-01,Sweden,1,0,0,8,0
2021-10-02,Afghanistan,5,0,0,29,3
2021-10-02,Japan,26,0,0,93,2
2021-10-02,Sweden,1,0,0,8,0
2021-10-03,Afghanistan,5,0,0,29,3
2021-10-03,Japan,26,0,0,93,2
2021-10-03,Sweden,1,0,0,8,0
2021-10-04,Afghanistan,5,0,0,29,3
2021-10-04,Japan,26,0,0,93,2
2021-10-04,Sweden,1,0,0,8,0
2021-10-05,Afghanistan,5,0,0,29,3
2021-10-05,Japan,26,0,0,94,1
2021-10-05,Sweden,1,0,0,8,0
2021-10-06,Afghanistan,5,0,0,29,3
2021-10-06,Japan,26,0,0,94,1
2021-10-06,Sweden,1,0,0,8,0
2021-10-07,Afghanistan,5,0,0,30,2
2021-10-07,Japan,26,0,0,95,0
2021-10-07,Sweden,1,0,0,8,0
2021-10-08,Afghanistan,5,0,0,30,2
2021-10-08,Japan,26,0,0,95,0
2021-10-08,Sweden,1,0,0,8,0
2021-10-09,Afghanistan,5,0,0,30,2
2021-10-09,Japan,26,0,0,95,0
2021-10-09,Sweden,1,0,0,8,0
2021-10-10,Afghanistan,5,0,0,30,2
2021-10-10,Japan,26,0,0,95,0
2021-10-10,Sweden,1,0,0,8,0
2021-10-11,Afghanistan,5,0,0,32,0
2021-10-11,Japan,26,0,0,95,0
2021-10-11,Sweden,1,0,0,8,0
2021-10-12,Afghanistan,5,0,0,32,0
2021-10-12,Japan,26,0,0,95,0
2021-10-12,Sweden,1,0,0,8,0
2021-10-13,Afghanistan,5,0,0,32,0
2021-10-13,Japan,26,0,0,95,0
2021-10-13,Sweden,1,0,0,8,0
2021-10-14,Afghanistan,5,0,0,32,0
2021-10-14,Japan,26,0,0,95,0
2021-10-14,Sweden,1,0,0,8,0
2021-10-15,Afghanistan,5,0,0,32,0
2021-10-15,Japan,26,0,0,95,0
2021-10-15,Sweden,1,0,0,8,0
2021-10-16,Afghanistan,5,0,0,32,0
2021-10-16,Japan,26,0,0,95,0
2021-10-16,Sweden,1,0,0,8,0
2021-10-17,Afghanistan,5,0,0,32,0
2021-10-17,Japan,26,0,0,95,0
2021-10-17,Sweden,1,0,0,8,0
2021-10-18,Afghanistan,5,0,0,32,0
2021-10-18,Japan,26,0,0,95,0
2021-10-18,Sweden,1,0,0,8,0
2021-10-19,Afghanistan,5,0,0,32,0
2021-10-19,Japan,26,0,0,95,0
2021-10-19,Sweden,1,0,0,8,0
2021-10-20,Afghanistan,5,0,0,32,0
2021-10-20,Japan,26,0,0,95,0
2021-10-20,Sweden,1,0,0,8,0
2021-10-21,Afghanistan,5,0,0,32,0
2021-10-21,Japan,26,0,0,95,0
2021-10-21,Sweden,1,0,0,8,0
2021-10-22,Afghanistan,5,0,0,32,0
2021-10-22,Japan,26,0,0,95,0
2021-10-22,Sweden,1,0,0,8,0
2021-10-23,Afghanistan,5,0,0,32,0
2021-10-23,Japan,26,0,0,95,0
2021-10-23,Sweden,1,0,0,8,0
2021-10-24,Afghanistan,5,0,0,32,0
2021-10-24,Japan,26,0,0,95,0
2021-10-24,Sweden,1,0,0,8,0
2021-10-25,Afghanistan,5,0,0,32,0
2021-10-25,Japan,26,0,0,95,0
2021-10-25,Sweden,1,0,0,8,0
2021-10-26,Afghanistan,5,0,0,32,0
